Model,Fold,Raw_Accuracy,System_Safe_Rate,Latency_per_Sample_ms,Total_Filtered,Errors_Intercepted,Fatal_Errors,Overhead_Rate
SVM,1,0.9285714285714286,1.0,0.1780792571870344,12,5,0,0.17142857142857143
Random_Forest,1,0.9285714285714286,1.0,0.14985694267254854,49,5,0,0.7
Small_BERT,1,0.9428571428571428,0.9571428571428572,0.3975034857700978,2,1,3,0.02857142857142857
SVM,2,0.9428571428571428,1.0,0.1393889426253736,8,4,0,0.11428571428571428
Random_Forest,2,0.8857142857142857,1.0,0.14212534297257662,43,8,0,0.6142857142857143
Small_BERT,2,0.9857142857142858,1.0,0.38862331421114504,2,1,0,0.02857142857142857
SVM,3,1.0,1.0,0.15383937113386179,1,0,0,0.014285714285714285
Random_Forest,3,0.9857142857142858,1.0,0.15705252798008068,44,1,0,0.6285714285714286
Small_BERT,3,1.0,1.0,0.39052574346507235,0,0,0,0.0
SVM,4,0.9571428571428572,1.0,0.13849068615984703,10,3,0,0.14285714285714285
Random_Forest,4,0.8857142857142857,1.0,0.13791632788654948,45,8,0,0.6428571428571429
Small_BERT,4,0.9142857142857143,0.9428571428571428,0.3900279432335602,4,2,4,0.05714285714285714
SVM,5,0.9428571428571428,1.0,0.13728972906912013,8,4,0,0.11428571428571428
Random_Forest,5,0.8857142857142857,1.0,0.14047295719917333,46,8,0,0.6571428571428571
Small_BERT,5,0.9857142857142858,0.9857142857142858,0.38838101401259856,1,0,1,0.014285714285714285
